               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.12661,            0.049693,            0.061386,           0.0069083,             0.29599,            0.011487,            0.002187,             0.10451,            0.045814,            0.061966,            0.070508,           0.0032768,           0.0032768
                   1,            0.099274,            0.068594,            0.054528,            0.073361,             0.32717,            0.053313,            0.014543,             0.10243,            0.046763,            0.059305,            0.040443,           0.0065447,           0.0065447
                   2,            0.093612,            0.061374,            0.051381,              0.0597,             0.25176,            0.075571,            0.018438,            0.086385,            0.031843,            0.050625,            0.010312,           0.0097466,           0.0097466
                   3,            0.083596,            0.059501,            0.048265,             0.25819,             0.46333,             0.14362,            0.047151,            0.077741,             0.03358,            0.048896,            0.009703,            0.009703,            0.009703
                   4,             0.07584,            0.053174,            0.047587,             0.11337,             0.44026,             0.13348,            0.037265,            0.069167,            0.030064,            0.048152,            0.009703,            0.009703,            0.009703
                   5,             0.07321,            0.054164,            0.046784,             0.14784,             0.50132,             0.20132,            0.087811,            0.064056,            0.029724,            0.047566,            0.009604,            0.009604,            0.009604
                   6,            0.071531,            0.048504,            0.046188,             0.17902,             0.27759,             0.22725,            0.077598,            0.064177,            0.027308,            0.045923,            0.009505,            0.009505,            0.009505
                   7,            0.066949,            0.050055,            0.044979,             0.27072,             0.59509,             0.39552,             0.14475,            0.050126,            0.025587,            0.044785,            0.009406,            0.009406,            0.009406
                   8,            0.056832,            0.047256,            0.043756,             0.23463,             0.55894,             0.33908,             0.14724,            0.048329,            0.025644,             0.04331,            0.009307,            0.009307,            0.009307
                   9,            0.052665,            0.049754,            0.042159,             0.36827,             0.58613,             0.53644,             0.20828,            0.051013,            0.025787,            0.041789,            0.009208,            0.009208,            0.009208
                  10,            0.054748,            0.050589,            0.040908,             0.38969,             0.59549,             0.51738,             0.21069,            0.045609,            0.025568,            0.040203,            0.009109,            0.009109,            0.009109
                  11,            0.052956,            0.047887,            0.039004,             0.37439,             0.63798,              0.5165,              0.2341,            0.040743,            0.023839,            0.038664,             0.00901,             0.00901,             0.00901
                  12,            0.048629,            0.046001,            0.037888,             0.40281,             0.74149,             0.62567,             0.33818,            0.043985,            0.024477,             0.03714,            0.008911,            0.008911,            0.008911
                  13,            0.048916,            0.048109,            0.036665,             0.48483,                0.82,             0.65978,             0.26703,            0.046296,            0.024957,            0.035963,            0.008812,            0.008812,            0.008812
                  14,            0.048826,            0.044583,            0.035452,             0.41386,              0.8562,             0.65261,             0.35947,            0.043555,            0.024339,             0.03479,            0.008713,            0.008713,            0.008713
                  15,            0.046349,            0.046401,            0.033938,             0.48006,             0.85168,             0.74502,             0.46904,            0.035895,            0.023514,            0.033713,            0.008614,            0.008614,            0.008614
                  16,            0.045192,            0.042926,            0.033124,             0.57427,             0.81309,             0.76832,             0.49634,            0.029924,            0.021845,            0.032666,            0.008515,            0.008515,            0.008515
                  17,            0.042905,            0.042877,             0.03134,             0.56212,              0.8307,             0.77344,              0.3146,            0.045793,             0.02413,             0.03172,            0.008416,            0.008416,            0.008416
                  18,            0.045029,            0.045322,            0.030732,              0.4319,             0.78316,             0.61892,             0.30267,            0.048747,            0.023972,            0.030725,            0.008317,            0.008317,            0.008317
                  19,            0.041847,            0.045398,            0.029763,             0.53754,              0.8211,             0.75223,             0.46716,            0.034899,            0.022369,            0.029861,            0.008218,            0.008218,            0.008218
                  20,            0.039552,             0.04103,            0.028775,             0.59722,             0.88211,             0.77161,             0.36734,            0.033185,            0.021453,             0.02905,            0.008119,            0.008119,            0.008119
                  21,            0.040255,            0.043807,             0.02753,             0.46369,             0.87858,             0.70919,             0.39432,            0.032923,            0.021714,             0.02792,             0.00802,             0.00802,             0.00802
                  22,             0.04164,            0.041717,            0.026225,             0.62269,             0.89509,             0.80225,             0.52365,            0.026507,            0.020652,            0.027066,            0.007921,            0.007921,            0.007921
                  23,            0.040344,            0.041888,            0.025206,              0.6671,             0.87527,             0.80672,             0.39125,            0.040063,            0.021911,             0.02647,            0.007822,            0.007822,            0.007822
                  24,            0.039633,            0.040395,            0.025172,              0.4848,             0.79891,             0.67698,             0.36017,             0.04164,            0.021954,            0.025571,            0.007723,            0.007723,            0.007723
                  25,            0.037342,            0.041583,            0.023763,             0.63088,             0.81825,             0.82568,             0.50325,            0.031409,            0.020868,            0.024905,            0.007624,            0.007624,            0.007624
                  26,            0.037582,            0.040035,            0.022578,             0.62707,             0.87664,             0.81545,             0.59561,            0.024941,            0.019485,            0.024565,            0.007525,            0.007525,            0.007525
                  27,            0.038045,            0.040788,            0.022549,             0.53709,             0.95401,             0.80278,             0.55447,            0.033641,            0.020595,            0.023965,            0.007426,            0.007426,            0.007426
                  28,            0.035825,             0.04104,             0.02158,             0.50693,             0.92171,             0.81799,             0.52451,            0.031967,            0.021432,            0.023374,            0.007327,            0.007327,            0.007327
                  29,            0.036047,            0.041047,            0.021593,             0.64257,             0.80851,             0.82642,             0.55367,            0.025123,            0.019556,             0.02315,            0.007228,            0.007228,            0.007228
                  30,            0.038387,            0.039888,            0.021126,             0.72176,              0.8616,             0.86232,             0.56321,            0.030434,            0.020456,            0.022703,            0.007129,            0.007129,            0.007129
                  31,            0.033893,            0.040707,            0.020438,             0.60573,             0.99242,             0.85501,              0.5464,            0.031359,            0.021311,              0.0224,             0.00703,             0.00703,             0.00703
                  32,            0.034498,              0.0386,            0.020167,             0.80599,             0.79114,             0.87408,             0.51542,            0.030224,            0.020689,            0.021966,            0.006931,            0.006931,            0.006931
                  33,            0.033549,             0.03657,            0.019739,             0.77194,             0.83021,             0.86913,             0.65309,            0.022634,            0.018747,            0.021715,            0.006832,            0.006832,            0.006832
                  34,            0.033056,             0.03676,            0.018977,             0.69696,             0.84198,             0.87332,             0.60833,            0.025093,            0.019456,            0.021321,            0.006733,            0.006733,            0.006733
                  35,            0.032732,            0.039875,             0.01841,             0.79186,               0.854,             0.89033,             0.66173,            0.019862,             0.01797,            0.020942,            0.006634,            0.006634,            0.006634
                  36,            0.032149,            0.034978,            0.018501,             0.77448,             0.88778,             0.88971,             0.56847,             0.03062,            0.020004,            0.020537,            0.006535,            0.006535,            0.006535
                  37,            0.033353,            0.039211,             0.01802,             0.74233,             0.90468,             0.89497,             0.71795,            0.023701,            0.018647,            0.020039,            0.006436,            0.006436,            0.006436
                  38,            0.031434,             0.03545,            0.018315,             0.76007,             0.91514,             0.89879,             0.71577,            0.021369,            0.018098,            0.019581,            0.006337,            0.006337,            0.006337
                  39,            0.032873,            0.039051,            0.017206,             0.75198,             0.90802,              0.9011,             0.53801,            0.031396,            0.020391,            0.019117,            0.006238,            0.006238,            0.006238
                  40,            0.032203,             0.03902,               0.017,             0.65391,             0.93766,             0.89918,             0.57693,             0.02998,            0.019896,             0.01858,            0.006139,            0.006139,            0.006139
                  41,            0.031324,            0.038144,            0.017202,             0.77083,             0.94382,             0.91002,             0.64728,            0.027076,            0.019512,            0.017996,             0.00604,             0.00604,             0.00604
                  42,            0.030394,            0.035188,            0.016123,             0.81315,             0.94205,              0.9136,             0.61484,            0.023622,            0.018436,            0.017539,            0.005941,            0.005941,            0.005941
                  43,            0.030549,            0.036003,            0.016041,             0.82048,              0.9286,             0.91189,             0.68366,            0.024136,            0.019108,            0.016976,            0.005842,            0.005842,            0.005842
                  44,             0.03127,            0.035228,            0.016049,             0.82961,             0.94936,             0.91382,              0.7079,            0.018998,            0.017298,            0.016284,            0.005743,            0.005743,            0.005743
                  45,            0.031165,            0.038156,            0.015353,              0.8234,             0.96132,             0.91476,             0.57415,            0.030562,             0.02004,            0.015786,            0.005644,            0.005644,            0.005644
                  46,             0.03163,            0.039892,            0.013887,             0.81563,             0.97035,             0.91089,             0.70877,            0.019856,            0.017566,            0.015293,            0.005545,            0.005545,            0.005545
                  47,            0.028999,            0.036659,            0.014431,             0.80284,             0.95076,             0.92438,             0.73767,            0.018517,            0.017119,            0.014703,            0.005446,            0.005446,            0.005446
                  48,            0.029907,            0.038825,            0.013512,             0.85136,             0.93561,             0.93392,              0.7395,            0.016806,            0.017021,            0.014363,            0.005347,            0.005347,            0.005347
                  49,            0.028675,            0.035766,             0.01347,             0.84342,             0.93182,             0.92719,             0.68355,            0.024246,            0.018748,            0.013937,            0.005248,            0.005248,            0.005248
                  50,             0.02763,             0.03434,            0.012316,             0.77712,             0.92803,              0.9332,             0.72921,            0.021262,            0.017429,             0.01337,            0.005149,            0.005149,            0.005149
                  51,            0.029207,            0.038391,            0.012923,             0.90388,              0.9356,             0.94338,             0.79326,            0.016101,            0.016108,            0.012915,             0.00505,             0.00505,             0.00505
                  52,            0.027737,             0.03676,             0.01232,             0.90494,             0.94152,             0.94902,             0.68831,             0.02577,            0.019008,            0.012597,            0.004951,            0.004951,            0.004951
                  53,            0.028026,            0.035216,            0.012078,             0.84215,             0.94582,             0.96449,             0.71567,            0.021959,            0.017617,            0.012239,            0.004852,            0.004852,            0.004852
                  54,            0.027472,             0.03327,            0.012071,             0.95417,             0.93939,             0.97325,             0.80979,            0.018136,            0.016806,            0.011838,            0.004753,            0.004753,            0.004753
                  55,            0.028349,            0.036851,              0.0114,             0.97038,             0.96045,             0.98177,             0.69204,            0.025135,            0.018478,            0.011441,            0.004654,            0.004654,            0.004654
                  56,            0.027478,             0.03559,            0.011592,             0.91151,             0.95787,             0.97128,             0.77808,            0.020652,            0.017418,            0.010928,            0.004555,            0.004555,            0.004555
